,물품대분류,상품명,물품판매량,제품단가,UPC,Code,ItemNumber,상위상품명
2919,팬티,하기스 네이처메이드 팬티 4단계 남아 96매(팬티형) X3,19,161760,LINER-2726,LINER,2726,하기스 네이처메이드 팬티 4단계 남아
2920,팬티,하기스 네이처메이드 팬티 4단계 남아 216매(팬티형),18,68600,LINER-2723,LINER,2723,하기스 네이처메이드 팬티 4단계 남아
2921,팬티,하기스 네이처메이드 팬티 4단계 여아 96매(팬티형),882,66636,LINER-2728,LINER,2728,하기스 네이처메이드 팬티 4단계 여아
2922,팬티,하기스 네이처메이드 팬티 4단계 여아 96매(팬티형) X2,54,107840,LINER-2729,LINER,2729,하기스 네이처메이드 팬티 4단계 여아
2923,팬티,하기스 네이처메이드 팬티 4단계 여아 96매(팬티형) X3,25,161760,LINER-2730,LINER,2730,하기스 네이처메이드 팬티 4단계 여아
2924,팬티,하기스 네이처메이드 팬티 5단계 남아 80매(팬티형),594,72983,LINER-2731,LINER,2731,하기스 네이처메이드 팬티 5단계 남아
2925,팬티,하기스 네이처메이드 팬티 5단계 남아 80매(팬티형) X2,23,107840,LINER-2732,LINER,2732,하기스 네이처메이드 팬티 5단계 남아
2926,팬티,하기스 네이처메이드 팬티 5단계 남아 80매(팬티형) X3,10,161760,LINER-2733,LINER,2733,하기스 네이처메이드 팬티 5단계 남아
2927,팬티,하기스 네이처메이드 팬티 5단계 여아 80매(팬티형),482,69917,LINER-2735,LINER,2735,하기스 네이처메이드 팬티 5단계 여아
2928,팬티,하기스 네이처메이드 팬티 5단계 여아 80매(팬티형) X2,14,107840,LINER-2736,LINER,2736,하기스 네이처메이드 팬티 5단계 여아
2929,팬티,하기스 네이처메이드 팬티 5단계 여아 80매(팬티형) X3,5,161760,LINER-2737,LINER,2737,하기스 네이처메이드 팬티 5단계 여아
2930,팬티,하기스 네이처메이드 팬티 5단계 여아 180매(팬티형),2,68600,LINER-2734,LINER,2734,하기스 네이처메이드 팬티 5단계 여아
2931,팬티,하기스 네이처메이드 팬티 6단계 남아 68매(팬티형),144,77884,LINER-2739,LINER,2739,하기스 네이처메이드 팬티 6단계 남아
2932,팬티,하기스 네이처메이드 팬티 6단계 남아 68매(팬티형) X2,2,107840,LINER-2740,LINER,2740,하기스 네이처메이드 팬티 6단계 남아
2933,팬티,하기스 네이처메이드 팬티 6단계 남아 68매(팬티형) X3,4,161760,LINER-2741,LINER,2741,하기스 네이처메이드 팬티 6단계 남아
2934,팬티,하기스 네이처메이드 팬티 6단계 남아 150매(팬티형),27,76222,LINER-2738,LINER,2738,하기스 네이처메이드 팬티 6단계 남아
2935,팬티,하기스 네이처메이드 팬티 6단계 여아 68매(팬티형),125,75057,LINER-2743,LINER,2743,하기스 네이처메이드 팬티 6단계 여아
2936,팬티,하기스 네이처메이드 팬티 6단계 여아 68매(팬티형) X2,4,107840,LINER-2744,LINER,2744,하기스 네이처메이드 팬티 6단계 여아
2937,팬티,하기스 네이처메이드 팬티 6단계 여아 150매(팬티형),26,79154,LINER-2742,LINER,2742,하기스 네이처메이드 팬티 6단계 여아
2938,팬티,하기스 네이처메이드 팬티 밤부 3단계 남아 128매(팬티형),171,66793,LINER-2745,LINER,2745,하기스 네이처메이드 팬티 밤부 3단계 남아
2939,팬티,하기스 네이처메이드 팬티 밤부 3단계 남아 128매(팬티형) X2,7,106971,LINER-2746,LINER,2746,하기스 네이처메이드 팬티 밤부 3단계 남아
2940,팬티,하기스 네이처메이드 팬티 밤부 3단계 여아 128매(팬티형),268,66180,LINER-2747,LINER,2747,하기스 네이처메이드 팬티 밤부 3단계 여아
2941,팬티,하기스 네이처메이드 팬티 밤부 3단계 여아 128매(팬티형) X2,15,124800,LINER-2749,LINER,2749,하기스 네이처메이드 팬티 밤부 3단계 여아
2942,팬티,하기스 네이처메이드 팬티 밤부 3단계 여아 128매(팬티형) X 3,3,62400,LINER-2748,LINER,2748,하기스 네이처메이드 팬티 밤부 3단계 여아
2943,팬티,하기스 네이처메이드 팬티 밤부 4단계 남아 108매(팬티형),621,72173,LINER-2750,LINER,2750,하기스 네이처메이드 팬티 밤부 4단계 남아
2944,팬티,하기스 네이처메이드 팬티 밤부 4단계 남아 108매(팬티형) X2,36,114400,LINER-2752,LINER,2752,하기스 네이처메이드 팬티 밤부 4단계 남아
2945,팬티,하기스 네이처메이드 팬티 밤부 4단계 남아 108매(팬티형) X 3,5,149760,LINER-2751,LINER,2751,하기스 네이처메이드 팬티 밤부 4단계 남아
2946,팬티,하기스 네이처메이드 팬티 밤부 4단계 여아 108매(팬티형),552,70853,LINER-2753,LINER,2753,하기스 네이처메이드 팬티 밤부 4단계 여아
2947,팬티,하기스 네이처메이드 팬티 밤부 4단계 여아 108매(팬티형) X2,20,106080,LINER-2755,LINER,2755,하기스 네이처메이드 팬티 밤부 4단계 여아
2948,팬티,하기스 네이처메이드 팬티 밤부 4단계 여아 108매(팬티형) X 3,6,156000,LINER-2754,LINER,2754,하기스 네이처메이드 팬티 밤부 4단계 여아
2949,팬티,하기스 네이처메이드 팬티 밤부 5단계 남아 88매(팬티형),291,77270,LINER-2756,LINER,2756,하기스 네이처메이드 팬티 밤부 5단계 남아
2950,팬티,하기스 네이처메이드 팬티 밤부 5단계 남아 88매(팬티형) X2,18,117867,LINER-2758,LINER,2758,하기스 네이처메이드 팬티 밤부 5단계 남아
